HYDROLAB MS5 65376
"Log File Name : site_name_for_hydrolab_file"
"Setup Date (YYYY-MM-DD) : 2017-02-22"
"Setup Time (HH:MM:SS) : 11:48:20"
"Starting Date (YYYY-MM-DD) : 2017-02-22"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (YYYY-MM-DD) : 2024-09-22"
"Stopping Time (HH:MM:SS) : 12:48:20"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","TDG","","TDG","","TDG","","IBatt","","EBatt","","IBatt","","EBatt","","Circ",""
"YYYY-MM-DD","HH:MM:SS","","°C","","mmHg","","psia","","mV","","Volts","","Volts","","%Left","","%Left","","Status",""

2017-02-23,23:30:00,"","6.86","","1424","","27.53","","23.12","","11.1","","0.0","","79","","0","","1",""
2017-02-23,23:45:00,"","6.86","","1424","","27.55","","23.13","","11.1","","0.0","","79","","0","","1",""
2017-02-24,00:00:00,"","6.86","","1425","","27.56","","23.14","","11.1","","0.0","","79","","0","","1",""
2017-02-24,00:15:00,"","6.86","","1426","","27.57","","23.16","","11.1","","0.0","","79","","0","","1",""
2017-02-24,00:30:00,"","6.86","","1427","","27.59","","23.17","","11.1","","0.0","","79","","0","","1",""
2017-02-24,00:45:00,"","6.86","","1428","","27.61","","23.18","","11.1","","0.0","","79","","0","","1",""
2017-02-24,01:00:00,"","6.86","","1428","","27.62","","23.20","","11.1","","0.0","","79","","0","","1",""
2017-02-24,01:15:00,"","6.86","","1429","","27.63","","23.21","","11.1","","0.0","","79","","0","","1",""
2017-02-24,01:30:00,"","6.86","","1430","","27.65","","23.22","","11.1","","0.0","","79","","0","","1",""
2017-02-24,01:45:00,"","6.86","","1429","","27.64","","23.21","","11.1","","0.0","","79","","0","","1",""
2017-02-24,02:00:00,"","6.86","","1429","","27.64","","23.21","","11.1","","0.0","","79","","0","","1",""
2017-02-24,02:15:00,"","6.86","","1430","","27.65","","23.22","","11.1","","0.0","","79","","0","","1",""
2017-02-24,02:30:00,"","6.86","","1430","","27.66","","23.23","","11.1","","0.0","","79","","0","","1",""
2017-02-24,02:45:00,"","6.86","","1430","","27.66","","23.23","","11.1","","0.0","","79","","0","","1",""
2017-02-24,03:00:00,"","6.86","","1431","","27.66","","23.23","","11.1","","0.0","","79","","0","","1",""
2017-02-24,03:15:00,"","6.86","","1431","","27.67","","23.24","","11.1","","0.0","","79","","0","","1",""
2017-02-24,03:30:00,"","6.86","","1431","","27.67","","23.24","","11.1","","0.0","","79","","0","","1",""
