Serial_number:
2022016
Project ID:
CGC_McCully
Location:
PO-05_20160729
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,LEVEL,TEMPERATURE
2016-07-29,15:54:33,13.1938,7.364
2016-07-29,15:54:34,13.1938,7.364
2016-07-29,15:54:36,13.1938,7.364
2016-07-29,15:54:37,13.1937,7.364
2016-07-29,15:54:38,13.1937,7.364
2016-07-29,15:54:39,13.1936,7.364
2016-07-29,15:54:40,13.1935,7.364
2016-07-29,15:54:41,13.1936,7.364
2016-07-29,15:54:42,13.1937,7.364
2016-07-29,15:54:43,13.1938,7.364
2016-07-29,15:54:44,13.1940,7.364
2016-07-29,15:54:45,13.1935,7.364
2016-07-29,15:54:46,13.1938,7.364
2016-07-29,15:54:47,13.1937,7.364
2016-07-29,15:54:48,13.1936,7.364
2016-07-29,15:54:49,13.1937,7.364
2016-07-29,15:54:50,13.1933,7.364
2016-07-29,15:54:51,13.1935,7.364
2016-07-29,15:54:52,13.1937,7.364
2016-07-29,15:54:53,13.1934,7.364
2016-07-29,15:54:54,13.1935,7.364
2016-07-29,15:54:55,13.1937,7.363
2016-07-29,15:54:56,13.1937,7.364
2016-07-29,15:54:57,13.1934,7.364
2016-07-29,15:54:58,13.1937,7.364
2016-07-29,15:54:59,13.1935,7.364
2016-07-29,15:55:00,13.1936,7.364
2016-07-29,15:55:01,13.1936,7.364
2016-07-29,15:55:02,13.1934,7.364
2016-07-29,15:55:03,13.1936,7.364
2016-07-29,15:55:04,13.1936,7.364
2016-07-29,15:55:05,13.1936,7.365
2016-07-29,15:55:06,13.1934,7.363
2016-07-29,15:55:07,13.1934,7.364
2016-07-29,15:55:08,13.1933,7.364
2016-07-29,15:55:09,13.1932,7.364
2016-07-29,15:55:10,13.1934,7.364
2016-07-29,15:55:11,13.1934,7.364
2016-07-29,15:55:12,13.1932,7.364
2016-07-29,15:55:13,13.1932,7.364
2016-07-29,15:55:14,13.1933,7.365
2016-07-29,15:55:15,13.1933,7.364
2016-07-29,15:55:16,13.1930,7.365
2016-07-29,15:55:17,13.1934,7.364
2016-07-29,15:55:18,13.1936,7.364
2016-07-29,15:55:19,13.1934,7.363
2016-07-29,15:55:20,13.1936,7.364
2016-07-29,15:55:21,13.1931,7.364
2016-07-29,15:55:22,13.1936,7.364
2016-07-29,15:55:23,13.1930,7.365
2016-07-29,15:55:24,13.1930,7.364
2016-07-29,15:55:25,13.1933,7.363
2016-07-29,15:55:26,13.1935,7.364
2016-07-29,15:55:27,13.1934,7.364
2016-07-29,15:55:28,13.1932,7.364
2016-07-29,15:55:29,13.1931,7.364
2016-07-29,15:55:30,13.1932,7.364
2016-07-29,15:55:31,13.1931,7.364
2016-07-29,15:55:32,13.1934,7.364
2016-07-29,15:55:33,13.1928,7.364
2016-07-29,15:55:34,13.1932,7.364
2016-07-29,15:55:35,13.1932,7.364
2016-07-29,15:55:36,13.1931,7.364
2016-07-29,15:55:37,13.1933,7.363
2016-07-29,15:55:38,13.1932,7.364
2016-07-29,15:55:39,13.1930,7.364
2016-07-29,15:55:40,13.1932,7.365
2016-07-29,15:55:41,13.1932,7.364
2016-07-29,15:55:42,13.1932,7.364
2016-07-29,15:55:43,13.1933,7.364
2016-07-29,15:55:44,13.1932,7.363
2016-07-29,15:55:45,13.1930,7.364
2016-07-29,15:55:46,13.1929,7.364
2016-07-29,15:55:48,13.1930,7.364
2016-07-29,15:55:49,13.1930,7.364
2016-07-29,15:55:50,13.1929,7.364
2016-07-29,15:55:51,13.1929,7.364
2016-07-29,15:55:52,13.1927,7.364
2016-07-29,15:55:53,13.1930,7.364
2016-07-29,15:55:54,13.1928,7.364
2016-07-29,15:55:55,13.1929,7.364
2016-07-29,15:55:56,13.1929,7.364
2016-07-29,15:55:57,13.1928,7.364
2016-07-29,15:55:58,13.1930,7.364
2016-07-29,15:55:59,13.1930,7.364
2016-07-29,15:56:00,13.1927,7.364
2016-07-29,15:56:01,13.1930,7.364
2016-07-29,15:56:02,13.1931,7.364
2016-07-29,15:56:03,13.1929,7.364
2016-07-29,15:56:04,13.1926,7.364
2016-07-29,15:56:05,13.1930,7.364
2016-07-29,15:56:06,13.1927,7.364
2016-07-29,15:56:07,13.1929,7.364
2016-07-29,15:56:08,13.1926,7.364
2016-07-29,15:56:09,13.1929,7.364
2016-07-29,15:56:10,13.1929,7.364
2016-07-29,15:56:11,13.1927,7.364
2016-07-29,15:56:12,13.1925,7.364
2016-07-29,15:56:13,13.1926,7.364
2016-07-29,15:56:14,13.1929,7.364
2016-07-29,15:56:15,13.1929,7.364
2016-07-29,15:56:16,13.1930,7.365
2016-07-29,15:56:17,13.1926,7.364
2016-07-29,15:56:18,13.1924,7.364
2016-07-29,15:56:19,13.1928,7.364
2016-07-29,15:56:20,13.1927,7.364
2016-07-29,15:56:21,13.1926,7.364
2016-07-29,15:56:22,13.1924,7.364
2016-07-29,15:56:23,13.1927,7.364
2016-07-29,15:56:24,13.1927,7.364
2016-07-29,15:56:25,13.1928,7.364
2016-07-29,15:56:26,13.1924,7.364
2016-07-29,15:56:27,13.1926,7.364
2016-07-29,15:56:28,13.1926,7.364
2016-07-29,15:56:29,13.1926,7.364
2016-07-29,15:56:30,13.1924,7.364
2016-07-29,15:56:31,13.1923,7.364
2016-07-29,15:56:32,13.1925,7.364
2016-07-29,15:56:33,13.1924,7.364
2016-07-29,15:56:34,13.1928,7.364
2016-07-29,15:56:35,13.1925,7.364
2016-07-29,15:56:36,13.1925,7.364
2016-07-29,15:56:37,13.1927,7.364
2016-07-29,15:56:38,13.1924,7.364
2016-07-29,15:56:39,13.1924,7.364
2016-07-29,15:56:40,13.1923,7.364
2016-07-29,15:56:41,13.1924,7.364
2016-07-29,15:56:42,13.1925,7.364
2016-07-29,15:56:43,13.1924,7.364
2016-07-29,15:56:44,13.1924,7.363
2016-07-29,15:56:45,13.1924,7.364
2016-07-29,15:56:46,13.1923,7.364
2016-07-29,15:56:47,13.1923,7.364
2016-07-29,15:56:48,13.1920,7.363
2016-07-29,15:56:49,13.1923,7.364
2016-07-29,15:56:50,13.1922,7.364
2016-07-29,15:56:51,13.1924,7.364
2016-07-29,15:56:52,13.1923,7.364
2016-07-29,15:56:53,13.1924,7.364
2016-07-29,15:56:54,13.1923,7.364
2016-07-29,15:56:55,13.1925,7.364
2016-07-29,15:56:56,13.1920,7.364
2016-07-29,15:56:57,13.1919,7.364
2016-07-29,15:56:58,13.1921,7.364
2016-07-29,15:56:59,13.1922,7.364
2016-07-29,15:57:01,13.1922,7.364
2016-07-29,15:57:02,13.1921,7.365
2016-07-29,15:57:03,13.1922,7.364
2016-07-29,15:57:04,13.1920,7.364
2016-07-29,15:57:05,13.1924,7.364
2016-07-29,15:57:06,13.1922,7.364
2016-07-29,15:57:07,13.1920,7.364
2016-07-29,15:57:08,13.1920,7.364
2016-07-29,15:57:09,13.1921,7.364
2016-07-29,15:57:10,13.1923,7.364
2016-07-29,15:57:11,13.1921,7.364
2016-07-29,15:57:12,13.1920,7.364
2016-07-29,15:57:13,13.1918,7.364
2016-07-29,15:57:14,13.1922,7.364
2016-07-29,15:57:15,13.1918,7.364
2016-07-29,15:57:16,13.1919,7.364
2016-07-29,15:57:17,13.1921,7.364
2016-07-29,15:57:18,13.1919,7.364
2016-07-29,15:57:19,13.1919,7.364
2016-07-29,15:57:20,13.1919,7.364
2016-07-29,15:57:21,13.1919,7.364
2016-07-29,15:57:22,13.1920,7.364
2016-07-29,15:57:23,13.1920,7.364
2016-07-29,15:57:24,13.1919,7.364
2016-07-29,15:57:25,13.1917,7.364
2016-07-29,15:57:26,13.1918,7.364
2016-07-29,15:57:27,13.1916,7.364
2016-07-29,15:57:28,13.1917,7.364
2016-07-29,15:57:29,13.1919,7.364
2016-07-29,15:57:30,13.1920,7.364
2016-07-29,15:57:31,13.1917,7.364
2016-07-29,15:57:32,13.1918,7.364
